Generacja,Bot_ID,Punkty,town_size,wood_percent,gold_percent,stone_percent,feudal_vills,castle_vills,boar_hunting,boar_hunters,max_lumber_camps,max_mining_camps,build_market,build_blacksmith,build_archery,build_stable,build_tower,build_palisade,build_siege,militia_count,archer_count,skirm_count,scout_count,spearman_count,knight_count,ram_count,attack_group_size,target_eco,attack_percent,min_attack_group,army_size_with_siege,army_size_no_siege,tech_loom,tech_wheelbarrow,tech_double_axe,tech_horse_collar,tech_gold_mining,tech_fletching,tech_padded_archer,tech_forging,tech_scale_mail,tech_bloodlines
2,3,560,17,38,10,0,21,42,0,6,3,1,1,1,1,1,1,1,0,6,13,15,7,10,11,3,13,0,100,15,20,40,1,0,0,0,0,1,1,1,0,0
2,6,556,13,46,10,2,20,41,0,5,3,1,0,1,1,1,0,0,0,6,13,8,5,10,13,3,20,3,100,15,20,40,0,1,1,1,0,1,1,0,1,0
2,7,408,17,38,10,2,21,40,0,6,3,1,0,0,1,1,1,0,1,6,16,12,7,10,11,3,13,2,100,15,20,40,1,0,1,0,1,1,1,1,0,0
2,8,348,15,40,11,7,26,45,1,5,1,1,0,0,1,1,1,0,0,9,31,11,7,7,13,4,32,1,56,9,23,39,1,0,0,1,1,1,0,0,0,1
2,4,162,17,46,10,3,20,40,0,6,3,1,0,1,1,1,0,0,0,4,13,11,7,10,13,3,13,3,100,15,20,40,1,0,0,1,1,1,1,0,1,0
2,1,118,17,46,10,4,20,40,1,7,3,2,0,1,1,1,0,0,0,6,13,15,7,10,13,3,20,3,100,15,19,40,1,1,0,0,0,0,1,1,0,0
3,4,488,13,46,10,2,20,41,0,6,3,1,0,1,1,1,0,0,1,5,16,8,5,10,13,3,20,3,100,15,20,40,0,1,1,0,0,1,0,0,0,0
3,8,338,21,41,11,2,24,42,0,7,2,3,1,1,0,0,1,1,0,0,16,15,4,8,18,5,29,1,60,14,18,37,1,0,1,0,0,0,1,0,0,0
3,3,324,17,38,10,2,21,41,0,6,3,1,1,1,1,1,1,0,0,6,16,14,7,10,11,3,20,0,100,15,20,40,1,0,0,0,0,1,1,1,0,1
3,7,274,17,46,10,2,21,41,0,6,3,1,1,1,1,1,1,0,1,5,16,14,7,10,11,3,20,2,100,15,20,40,1,0,1,0,0,1,1,1,1,0
3,2,134,17,46,14,2,21,38,0,6,3,1,1,0,1,1,1,0,1,6,16,14,7,10,16,3,20,0,100,15,20,40,1,1,0,1,0,1,0,1,1,0
3,6,114,13,46,11,2,20,41,0,6,3,1,0,1,1,1,1,0,0,6,13,8,5,10,14,3,20,3,100,15,20,43,0,1,0,1,0,0,1,1,1,0
3,1,98,13,46,10,6,21,42,0,6,3,1,1,1,1,1,1,1,0,6,13,15,7,10,11,3,13,-2,99,15,20,40,1,1,0,0,0,1,1,1,1,0
3,5,78,17,46,10,0,20,40,0,9,3,1,1,1,1,1,1,0,1,6,13,15,7,10,16,3,13,0,100,15,19,40,1,1,0,0,0,1,1,1,1,0
4,1,746,17,38,10,2,19,41,0,6,3,1,1,1,1,1,1,0,1,6,16,14,7,10,14,3,20,1,100,15,20,39,1,1,1,0,0,1,1,1,0,0
4,6,674,21,41,11,2,21,41,0,7,3,1,1,1,0,0,1,0,0,5,16,14,4,10,11,3,31,2,60,15,18,37,1,0,1,0,0,1,1,0,0,0
4,2,496,21,41,10,2,20,42,1,7,2,1,0,1,1,1,1,0,1,5,15,8,5,8,13,5,20,3,60,15,18,37,0,0,1,0,0,0,1,0,0,0
4,3,328,13,46,10,2,21,41,0,6,3,1,1,1,1,1,0,0,0,6,17,8,6,10,11,3,20,0,100,15,20,40,0,0,1,0,0,1,0,1,0,1
4,7,314,13,46,10,2,20,41,0,6,3,1,0,1,1,1,0,0,1,5,16,8,5,10,13,3,20,3,100,15,20,40,0,1,1,0,0,1,0,0,0,0
4,4,262,17,46,10,0,21,41,0,6,3,1,1,1,1,1,1,0,1,5,18,14,7,10,13,3,20,3,100,15,20,40,0,1,1,0,0,1,1,0,0,0
4,8,232,29,27,2,0,28,45,0,6,3,3,0,1,1,1,0,0,1,0,19,7,3,9,16,3,15,0,73,15,17,50,1,1,1,1,0,0,0,1,1,1
4,5,84,21,41,11,2,21,42,0,6,2,1,1,1,0,0,0,0,0,0,16,14,4,12,11,0,29,0,100,14,18,37,1,0,0,1,0,0,1,1,0,1
5,1,1702,13,46,10,7,21,44,0,7,2,1,1,0,1,1,0,0,0,5,15,8,5,8,13,5,20,0,60,15,18,37,0,0,1,0,0,1,1,0,1,0
5,5,602,21,41,11,2,20,41,1,7,3,1,1,1,1,1,1,0,1,5,15,8,4,10,13,5,20,3,60,15,18,37,1,0,1,0,0,0,1,0,0,0
5,8,570,27,44,10,6,26,46,0,6,2,1,0,1,1,0,0,1,1,10,33,5,3,22,14,2,20,1,76,17,16,37,1,1,1,0,0,1,0,0,0,0
5,2,518,17,38,10,2,22,41,0,3,3,1,1,1,0,0,1,0,0,6,16,14,7,10,11,1,20,1,100,15,20,39,1,0,1,0,0,1,1,1,1,0
5,6,500,13,43,16,2,21,39,0,6,3,1,0,1,0,1,0,0,0,5,16,6,6,10,11,3,31,2,60,15,18,37,0,0,1,0,1,1,0,0,0,0
5,7,328,17,38,10,2,19,41,0,6,3,1,1,1,1,1,1,0,1,6,16,14,7,10,14,3,20,1,100,15,20,39,1,1,1,0,0,1,1,1,0,0
5,3,246,21,41,10,2,19,42,0,6,2,1,1,1,1,1,1,0,1,6,15,14,5,8,14,5,20,1,60,15,20,37,0,0,1,0,0,0,1,1,0,0
5,4,162,13,38,8,2,21,40,0,6,3,1,0,1,1,0,1,0,0,6,17,14,7,10,14,3,20,0,100,15,20,39,0,1,1,0,1,1,1,1,0,0
6,3,670,13,46,10,7,21,44,0,6,2,1,1,0,1,1,0,0,1,2,33,8,4,8,13,2,20,0,60,15,16,37,1,0,1,0,0,0,1,0,0,0
6,5,596,24,44,12,6,26,41,0,7,3,1,1,1,1,0,0,0,1,5,33,5,3,10,14,2,20,1,67,17,16,37,1,0,1,0,1,0,1,0,1,0
6,1,528,27,38,14,6,26,41,0,6,3,1,1,1,0,0,0,1,1,10,36,5,3,22,11,0,20,1,76,15,16,37,1,0,1,0,0,1,0,0,0,1
6,7,422,13,46,10,7,21,44,0,7,2,1,1,0,1,1,0,0,0,5,15,8,5,8,13,5,20,0,60,15,18,37,0,0,1,0,0,1,1,0,1,0
6,8,306,22,34,10,6,25,35,0,5,3,2,0,1,1,1,0,1,1,2,40,1,1,25,24,2,25,1,78,20,23,47,0,1,1,1,1,1,1,0,1,0
6,2,196,13,46,10,2,21,44,0,10,2,1,1,1,1,1,1,1,1,5,15,8,5,8,16,5,20,3,60,15,18,37,0,0,1,0,0,0,1,0,1,0
6,4,118,17,38,10,2,22,41,0,7,3,1,1,1,1,1,1,0,0,6,16,8,7,9,16,1,20,1,100,15,18,37,0,0,1,0,0,1,1,1,0,0
6,6,34,21,41,10,2,20,41,0,7,3,1,1,1,1,0,1,0,1,5,13,8,4,10,11,1,20,3,100,15,18,37,1,0,1,0,0,1,1,1,0,0
7,4,2150,13,46,10,7,21,44,0,7,2,1,1,0,1,1,0,0,1,7,15,8,5,8,13,5,20,0,90,15,16,37,1,0,1,0,0,1,1,0,1,0
7,2,1506,13,44,12,6,26,44,0,6,3,1,1,1,1,0,0,1,1,5,33,8,4,8,14,2,20,1,67,17,16,37,1,0,1,0,0,1,1,0,1,0
7,6,890,13,44,12,6,21,41,1,7,2,1,1,0,1,1,1,1,1,5,33,8,5,8,14,6,20,0,97,15,16,37,1,0,0,0,0,0,1,0,1,0
7,7,786,13,46,10,7,21,44,0,6,2,1,1,0,1,1,0,0,1,2,33,8,4,8,13,2,20,0,60,15,16,37,1,0,1,0,0,0,1,0,0,0
7,8,642,27,50,6,10,24,44,1,5,3,3,0,1,1,0,1,1,1,1,27,15,7,7,28,3,19,0,90,15,19,50,1,1,0,0,0,0,1,1,0,0
7,1,458,27,50,14,7,18,44,0,10,3,1,1,0,1,0,0,0,1,5,36,8,5,8,11,5,20,1,90,15,18,37,0,0,0,0,0,1,1,0,1,0
7,3,436,10,38,10,6,26,44,0,6,2,1,1,1,0,1,0,0,0,2,33,8,4,22,13,2,20,1,60,15,16,37,1,0,0,0,0,0,0,0,0,0
7,5,424,24,38,13,6,26,41,0,4,3,1,1,1,0,0,0,0,0,5,36,5,3,22,11,0,20,1,76,17,16,37,0,0,1,0,0,1,0,0,1,1
