Generacja,Bot_ID,Punkty,town_size,feudal_wood_percent,feudal_gold_percent,feudal_stone_percent,feudal_food_percent,castle_wood_percent,castle_gold_percent,castle_stone_percent,castle_food_percent,feudal_vills,castle_vills,boar_hunting,boar_hunters,build_market,build_blacksmith,build_archery,build_stable,build_tower,build_palisade,build_castle,build_siege,militia_count,archer_count,skirm_count,scout_count,spearman_count,knight_count,ram_count,attack_group_size,target_eco,attack_percent,min_attack_group,army_size_with_siege,army_size_no_siege,retreat_threshold,attack_groups,feudal_aggression,tech_loom,tech_wheelbarrow,tech_double_axe,tech_horse_collar,tech_gold_mining,tech_fletching,tech_padded_archer,tech_forging,tech_scale_mail,tech_bloodlines
1,65,2389,15,39,2,3,56,29,16,6,49,27,36,1,6,0,1,1,1,1,0,0,0,3,40,9,10,3,13,3,31,0,69,16,22,41,8,3,1,1,0,1,1,1,0,0,1,0,0
1,32,2387,23,48,11,2,39,37,30,12,21,27,39,0,4,0,1,0,0,0,0,1,0,4,34,4,4,15,20,3,25,0,71,18,18,47,2,3,1,0,1,0,0,0,0,0,1,1,0
1,78,2380,21,48,0,0,52,20,29,9,42,28,35,1,8,1,1,1,0,1,1,1,1,9,30,11,5,6,19,4,10,1,71,7,18,43,2,1,1,1,1,0,1,0,1,0,0,1,0
1,9,2375,17,35,1,4,60,37,16,11,36,24,28,1,8,0,0,0,1,0,0,0,0,7,22,12,9,19,15,1,21,0,79,6,15,39,7,2,0,1,1,1,0,0,0,1,0,1,0
1,70,2373,17,45,7,3,45,34,15,11,40,20,39,0,6,1,0,1,0,0,0,0,1,10,34,2,0,25,15,5,14,0,91,11,19,44,10,4,0,0,1,1,0,0,0,1,0,1,1
1,47,2364,23,38,9,2,51,27,13,11,49,23,31,0,5,0,1,1,0,1,0,1,1,0,21,5,5,18,14,1,20,0,80,13,23,38,14,4,1,0,1,0,1,0,1,1,1,0,1
1,62,2364,30,49,11,4,36,35,10,11,44,18,31,1,8,1,1,0,0,1,0,0,0,4,17,13,10,8,23,1,23,0,73,8,16,43,4,4,0,1,1,0,1,1,1,0,0,0,0
1,89,2355,24,41,12,5,42,38,14,8,40,20,39,1,6,0,1,0,0,1,0,1,1,10,24,12,9,9,10,2,20,0,74,11,23,40,13,3,1,1,0,1,0,1,0,1,0,1,1
1,22,2347,16,50,11,1,38,39,18,14,29,22,31,1,6,1,1,0,0,1,0,1,1,7,26,1,2,7,13,2,31,1,84,15,22,35,11,3,0,1,1,1,1,0,1,1,0,1,1
1,46,2341,26,33,2,2,63,34,28,11,27,28,38,1,4,0,0,1,0,1,0,1,0,8,30,6,4,0,18,3,12,0,52,18,19,48,14,3,1,1,1,1,0,0,0,1,0,1,0
1,79,2334,27,35,13,1,51,33,16,13,38,24,35,0,5,0,0,0,1,0,1,0,1,0,39,9,2,18,30,1,33,0,62,6,15,35,3,4,0,0,1,1,0,0,1,1,1,1,0
1,59,2318,25,37,0,5,58,36,14,9,41,18,39,0,8,0,1,1,1,1,1,1,1,5,19,14,5,21,28,3,15,1,68,20,21,36,4,2,0,0,1,0,1,1,0,1,0,1,0
1,16,2313,19,42,14,3,41,40,28,12,20,26,39,1,4,0,1,0,1,1,1,1,1,3,28,3,8,24,15,2,15,1,59,12,20,39,12,2,1,1,1,0,1,0,1,0,0,1,0
1,57,2312,23,37,8,1,54,26,25,13,36,25,36,0,4,0,1,0,1,0,1,0,0,3,26,4,3,9,30,1,14,1,87,15,25,36,15,2,1,1,1,1,1,0,1,0,1,1,0
1,37,2299,25,45,14,1,40,37,29,13,21,22,31,0,8,1,1,1,0,1,1,0,0,10,21,6,8,20,19,1,15,0,57,6,16,43,11,4,1,1,0,1,1,1,0,1,0,1,1
1,23,2291,25,40,9,2,49,35,11,13,41,25,38,0,8,0,0,1,0,0,0,0,1,2,22,13,6,16,24,5,28,0,63,11,21,47,13,4,1,0,0,0,0,1,0,1,1,0,1
1,40,2283,18,42,4,1,53,23,29,12,36,27,39,0,7,1,0,1,1,0,0,0,0,1,22,7,1,5,21,1,15,1,96,8,15,36,3,4,0,1,0,1,1,0,0,0,0,0,1
1,91,2276,21,47,6,3,44,23,15,10,52,25,34,1,8,0,1,0,0,0,0,0,0,5,40,15,0,9,21,5,30,0,86,6,18,40,4,3,1,1,1,1,1,0,1,0,0,0,1
1,58,2270,23,45,11,4,40,36,21,7,36,27,36,0,7,1,1,1,1,1,1,1,0,0,40,3,3,12,12,4,22,0,90,16,19,45,6,4,0,1,0,0,1,1,1,1,0,0,1
1,39,2268,29,31,14,5,50,26,11,15,48,21,29,0,7,0,0,1,1,0,0,0,1,4,11,3,5,13,29,2,29,0,86,11,24,43,9,3,1,0,1,0,0,0,0,1,1,1,1
1,88,2265,18,38,8,1,53,26,12,12,50,28,32,0,7,0,1,1,1,0,0,1,0,5,30,14,0,8,15,5,26,1,58,10,17,45,7,3,1,1,0,1,0,0,0,1,0,0,0
1,2,2244,25,44,14,3,39,26,22,9,43,19,32,1,5,1,1,0,0,0,0,1,1,10,37,2,1,20,11,5,35,0,94,5,23,49,7,1,1,1,0,0,1,0,1,1,0,0,1
1,50,2242,19,30,13,3,54,30,22,7,41,27,32,1,6,0,0,0,1,1,1,1,0,3,34,1,6,15,17,5,34,1,95,14,16,50,8,1,1,0,0,0,1,1,0,1,1,0,1
1,35,2241,21,38,8,1,53,40,14,10,36,18,39,0,7,0,0,0,0,0,1,0,0,8,20,3,10,19,14,4,23,1,99,14,23,37,5,2,0,0,0,1,0,1,0,1,1,1,0
1,61,2241,24,50,9,1,40,33,10,14,43,18,30,1,6,1,0,1,0,1,0,0,1,3,31,10,1,2,16,3,17,0,75,10,24,46,9,1,1,1,0,1,0,1,1,1,1,0,1
1,20,2227,21,44,13,1,42,39,20,14,27,26,36,1,7,0,0,1,1,0,0,1,0,8,10,13,2,1,13,4,20,0,77,9,20,44,12,3,1,0,0,0,0,0,0,0,1,1,0
1,21,2221,27,50,6,0,44,35,15,14,36,21,32,0,4,1,1,1,1,0,1,1,1,3,30,12,10,24,21,3,23,0,83,10,16,47,15,2,0,1,1,0,1,1,1,0,0,1,1
1,93,2218,26,38,0,2,60,23,16,10,51,27,39,0,7,0,0,1,0,0,1,0,0,3,28,1,2,9,29,4,17,0,83,17,20,39,12,2,0,0,1,0,1,1,1,1,0,1,1
1,4,2216,19,31,10,0,59,39,25,8,28,21,31,0,8,0,0,0,1,1,1,0,1,8,24,4,10,16,27,5,10,0,96,20,22,44,14,4,0,1,1,0,0,1,0,1,1,1,1
1,24,2208,23,35,8,1,56,23,16,11,50,19,36,1,7,1,1,1,1,0,0,1,0,7,16,4,6,13,24,5,18,1,67,17,21,50,7,4,1,1,0,0,0,1,0,0,0,1,0
1,27,2203,15,37,4,4,55,31,20,7,42,22,37,0,4,0,0,0,0,0,1,0,0,0,25,15,9,8,17,3,13,0,100,19,18,50,5,4,0,0,1,0,0,1,0,1,1,0,1
1,45,2203,18,50,5,1,44,33,16,14,37,27,28,0,7,1,1,1,0,1,0,1,1,6,37,4,9,20,23,4,20,0,100,12,22,45,11,1,0,0,1,1,0,0,1,0,1,1,1
1,74,2200,17,50,14,4,32,26,21,9,44,22,37,0,6,1,1,0,0,0,1,1,1,3,21,14,1,4,25,2,25,0,71,17,17,45,10,4,0,0,1,0,1,0,0,0,1,0,1
1,76,2199,21,40,9,5,46,27,19,13,41,27,31,1,6,1,1,1,0,0,1,1,0,8,36,5,2,1,22,5,24,1,63,15,20,36,13,3,0,1,0,1,0,0,0,0,0,0,0
1,95,2199,20,40,3,1,56,31,14,8,47,19,40,0,5,1,1,1,1,0,1,1,0,6,16,15,8,15,22,4,12,1,96,10,18,42,14,2,0,1,1,1,1,0,1,1,0,1,1
1,28,2186,27,39,2,2,57,35,25,5,35,24,29,1,6,0,0,0,0,1,1,1,0,1,20,4,8,14,26,3,30,1,57,17,21,43,15,4,0,0,0,0,0,0,0,0,0,0,0
1,13,2165,28,41,3,4,52,28,21,8,43,18,40,0,7,1,1,1,1,0,0,0,0,4,23,14,6,17,11,3,21,1,83,9,23,50,15,1,1,0,1,1,1,1,1,0,0,1,0
1,85,2154,15,48,6,0,46,24,11,13,52,19,34,1,4,1,0,0,0,0,0,1,0,9,20,2,6,6,20,4,12,1,55,15,22,39,12,1,0,1,0,0,1,1,0,1,1,1,1
1,44,2148,21,39,0,5,56,22,10,13,55,24,40,0,4,1,1,0,0,0,0,0,1,9,36,5,5,9,11,2,12,0,77,9,22,42,9,2,1,1,1,1,0,1,0,0,0,1,0
1,86,2128,21,35,2,0,63,31,14,8,47,28,29,0,6,1,0,1,0,0,0,0,1,1,20,6,1,1,13,5,27,0,57,7,21,41,5,4,1,1,1,0,0,1,0,1,0,0,1
1,8,2127,24,48,15,4,33,23,17,15,45,19,28,1,8,0,0,1,0,0,0,1,1,7,19,9,3,19,11,2,26,1,72,18,15,42,3,3,0,1,0,1,0,1,1,1,1,1,0
1,54,2122,20,46,4,0,50,39,24,15,22,20,33,0,6,1,0,0,1,0,1,0,1,3,25,15,9,6,22,1,31,1,85,13,25,35,4,4,0,0,0,0,1,1,0,1,0,0,1
1,7,2108,23,50,1,5,44,29,30,13,28,22,28,0,6,1,0,1,1,0,1,0,1,4,28,11,2,17,21,2,25,1,78,10,19,47,10,3,1,1,0,0,1,0,1,0,1,1,0
1,64,2093,28,45,4,5,46,29,21,14,36,25,28,1,5,1,1,0,1,0,0,1,0,2,18,8,0,19,16,1,19,0,95,11,20,38,9,2,1,0,0,1,1,1,0,0,1,0,0
1,36,2079,24,47,8,4,41,25,27,13,35,23,36,1,7,0,0,0,0,0,0,1,1,4,22,11,1,10,16,4,35,0,82,18,18,44,3,2,1,0,1,0,0,1,0,0,1,0,1
1,90,2065,26,40,4,5,51,22,14,13,51,26,35,1,8,1,1,0,1,1,1,1,1,1,32,10,9,4,24,5,19,1,75,11,17,41,3,1,0,1,1,0,1,0,0,1,1,0,0
1,33,2056,15,30,3,1,66,28,23,15,34,22,40,1,6,1,1,0,1,0,1,1,0,7,40,0,1,16,18,3,17,1,74,17,21,47,13,2,1,1,0,0,1,1,1,1,0,0,0
1,83,2055,26,38,4,4,54,24,29,15,32,23,30,1,8,0,1,1,1,0,1,0,0,1,20,1,6,22,12,2,23,1,51,20,18,48,4,3,1,0,1,0,0,1,0,0,0,0,1
1,52,2041,25,45,4,3,48,20,19,10,51,19,31,1,8,0,0,0,0,0,0,1,0,6,28,5,9,4,26,5,33,0,57,18,23,47,10,3,1,0,0,0,0,0,0,1,1,0,1
1,67,2041,29,35,2,4,59,32,27,15,26,28,33,1,4,0,1,1,0,1,0,1,0,6,30,12,7,19,28,1,13,1,63,9,17,37,4,4,0,0,1,1,1,1,1,0,1,0,1
1,1,2021,26,34,10,1,55,23,14,6,57,26,29,0,7,1,0,0,1,0,1,0,1,2,17,2,7,3,14,4,34,1,91,6,21,41,9,1,1,1,0,0,1,0,1,0,1,1,0
1,63,1994,28,31,1,3,65,32,29,12,27,20,30,0,7,0,1,1,1,0,1,0,0,10,38,8,4,0,17,1,29,0,65,20,22,49,4,3,1,1,0,1,1,0,0,0,0,0,0
1,48,1962,17,42,2,1,55,28,16,12,44,24,28,0,6,1,1,1,1,0,1,0,1,8,39,8,1,14,11,5,16,0,88,7,25,43,15,4,0,1,0,0,0,0,1,0,1,1,1
1,41,1954,15,48,4,3,45,31,14,15,40,21,33,1,7,0,0,0,0,0,1,1,0,0,14,5,2,8,17,5,33,1,80,17,19,47,11,1,1,1,1,1,0,0,0,1,0,1,1
1,25,1935,29,45,2,3,50,39,12,14,35,18,29,1,6,0,1,0,0,0,0,0,1,4,24,1,10,18,15,1,26,0,54,9,21,41,5,3,0,0,0,1,0,1,0,0,1,0,0
1,56,1908,20,49,10,3,38,26,25,13,36,24,37,1,5,0,1,1,1,0,0,1,1,1,23,12,0,19,29,1,28,1,100,9,19,44,2,3,0,0,1,0,1,1,1,0,0,0,1
1,94,1905,21,36,11,1,52,38,25,9,28,26,36,1,8,1,1,0,0,1,1,0,0,7,31,4,7,12,28,3,12,0,60,7,25,42,5,3,0,1,0,1,1,0,1,1,1,1,0
1,18,1831,18,47,0,5,48,39,15,12,34,28,32,1,7,1,1,0,0,0,1,0,1,8,17,13,4,14,16,5,25,1,67,12,23,47,5,4,0,1,0,1,1,1,0,1,1,1,1
1,68,1799,16,31,13,4,52,25,25,11,39,25,40,0,8,1,1,1,1,0,1,0,0,0,29,12,10,14,25,1,20,1,62,7,20,35,9,1,0,1,0,1,1,0,0,0,0,0,1
1,17,1734,19,46,1,1,52,39,13,6,42,24,33,1,7,0,1,0,1,1,1,0,1,0,24,0,7,23,27,3,20,0,100,13,15,50,15,3,0,0,0,0,1,1,0,0,0,0,1
1,38,1731,15,35,10,0,55,32,11,7,50,24,28,0,4,0,1,1,0,1,0,1,0,4,16,11,6,24,11,3,20,1,96,15,19,36,1,1,0,1,0,1,1,1,0,1,0,0,1
1,80,1700,19,35,6,4,55,39,26,13,22,27,39,0,7,1,1,1,0,0,1,0,0,1,15,1,0,9,24,2,19,0,54,11,22,46,1,3,1,1,1,1,0,1,1,0,0,1,0
1,66,1601,21,33,10,2,55,31,14,7,48,27,30,1,5,1,1,1,1,1,1,0,0,0,16,14,2,14,29,5,24,1,89,5,22,37,15,1,1,0,1,1,0,0,1,1,0,1,0
1,30,1579,30,49,9,5,37,36,17,12,35,27,36,0,4,0,0,1,1,1,1,0,1,4,33,7,6,23,10,4,22,0,100,6,23,35,11,4,1,1,1,0,1,1,1,1,1,1,0
1,5,1528,15,39,14,2,45,25,29,14,32,28,29,1,4,0,0,0,0,0,1,0,0,7,17,14,3,7,15,2,23,1,95,6,22,43,7,3,1,0,0,1,0,1,0,1,1,0,1
1,11,1425,28,45,8,5,42,34,23,8,35,22,28,0,4,0,0,1,0,1,1,1,0,10,21,4,10,18,12,4,28,1,96,13,16,44,3,1,1,0,0,1,0,1,1,1,0,1,1
1,53,1343,17,36,12,5,47,26,14,13,47,21,39,0,5,1,0,1,1,1,0,0,0,7,16,11,4,6,10,4,34,1,81,10,18,45,0,4,0,0,1,1,1,1,1,0,1,1,0
2,4,3157,23,49,13,1,37,29,23,15,33,23,38,0,8,1,0,1,1,0,1,0,0,6,27,12,8,25,13,1,35,0,82,8,22,35,3,2,1,1,1,0,1,0,1,1,0,1,0
2,58,2996,24,41,6,3,45,27,29,15,39,22,37,0,7,0,0,0,1,1,1,1,0,8,30,13,10,25,29,7,11,1,90,8,16,45,7,3,0,1,1,1,1,0,1,0,1,1,0
2,84,2859,29,28,3,3,57,25,23,5,33,22,35,1,6,0,1,1,1,0,1,1,0,10,12,4,2,24,28,4,20,0,59,3,23,45,14,1,0,1,1,0,1,0,0,1,0,1,0
2,23,2803,16,31,3,0,63,34,23,8,41,19,35,0,6,1,1,0,1,1,1,1,1,10,12,12,0,2,22,2,15,0,62,6,17,36,14,7,1,1,1,1,1,1,1,0,1,1,1
2,56,2771,19,49,2,2,37,29,19,15,20,23,38,1,8,0,0,1,1,0,0,0,0,6,27,12,3,25,16,4,36,0,82,22,22,33,1,6,1,0,1,1,1,0,0,1,1,0,0
2,76,2726,24,44,10,1,44,24,26,5,46,27,40,0,7,1,1,1,1,0,0,0,0,2,43,0,3,15,14,3,16,0,78,10,18,37,12,0,0,1,0,0,1,0,0,1,1,0,1
2,3,2709,30,46,6,3,45,27,29,10,34,26,38,0,8,0,1,1,1,1,1,0,1,3,30,10,6,18,29,3,11,1,90,6,16,37,1,2,0,1,1,1,1,1,1,0,1,1,1
2,53,2621,27,35,12,2,56,31,19,6,55,20,30,0,7,1,0,1,0,0,0,1,1,1,23,8,1,16,25,4,33,0,66,18,25,36,5,4,0,0,1,1,0,1,1,1,1,0,0
2,38,2615,17,33,10,5,43,30,19,9,45,31,38,1,6,0,1,1,0,1,0,0,0,1,26,9,4,14,19,5,18,1,78,11,16,48,5,4,1,1,1,1,1,1,1,0,1,1,0
2,30,2611,30,31,8,3,63,27,33,5,34,19,35,0,8,1,1,1,1,0,0,0,0,10,12,14,6,24,22,3,28,1,90,13,17,34,1,4,0,1,1,1,1,0,1,0,1,1,1
2,66,2590,24,33,6,4,57,32,27,9,48,23,36,1,4,0,1,1,0,0,0,1,1,1,13,10,11,28,21,4,29,0,91,5,23,45,8,0,0,0,1,1,1,1,0,0,0,1,1
2,46,2569,23,49,8,1,37,28,23,13,33,18,40,0,4,0,0,0,0,0,1,0,1,6,27,6,6,25,15,1,35,1,88,8,22,30,6,4,0,1,1,0,1,0,1,0,1,1,0
2,12,2550,30,42,14,1,43,37,15,13,35,22,30,0,5,1,0,1,0,0,1,0,1,2,29,6,7,6,12,5,12,0,87,17,18,44,7,1,0,1,0,1,1,1,1,1,1,1,1
2,18,2511,22,47,7,3,47,20,23,11,31,20,29,1,8,1,0,0,1,0,0,0,0,9,38,13,1,22,23,3,13,0,66,17,23,43,10,3,0,1,1,1,1,1,0,1,1,0,1
2,86,2482,25,40,7,5,48,39,29,10,22,26,30,1,5,1,1,1,1,0,1,1,1,8,38,0,8,17,28,4,29,1,94,6,17,42,0,2,1,1,1,1,1,0,0,1,1,1,0
2,90,2479,25,34,0,0,66,33,29,6,32,22,38,0,7,1,1,1,0,0,0,1,0,4,21,14,5,19,26,2,23,1,57,20,17,45,11,4,0,0,0,1,1,1,0,0,1,1,0
2,68,2472,27,36,15,1,54,23,12,13,52,24,40,0,4,1,1,0,1,1,0,0,1,10,33,6,11,17,20,4,33,1,88,8,21,44,7,4,1,0,1,0,1,1,1,0,1,1,1
2,54,2465,16,43,10,2,47,38,29,15,20,25,33,1,5,1,0,0,0,0,1,1,0,9,33,5,12,4,21,1,12,1,56,17,16,47,14,3,0,1,1,0,0,0,0,1,0,0,0
2,2,2453,22,39,9,0,52,34,13,12,41,23,37,0,8,1,1,0,1,1,1,1,1,4,12,6,4,2,19,2,15,0,62,6,19,36,7,2,1,1,1,1,1,1,0,0,1,0,1
2,92,2453,18,49,0,5,46,30,20,10,40,22,30,0,6,1,1,1,0,1,1,1,1,1,17,7,1,15,21,4,22,0,64,6,25,41,15,2,1,0,1,1,1,0,0,0,0,0,1
2,14,2446,17,50,1,4,60,32,21,15,35,19,35,1,4,1,1,1,1,1,1,0,0,7,17,0,6,8,18,1,22,1,55,15,16,36,8,2,0,0,0,1,0,1,1,0,1,1,1
2,75,2439,25,39,14,1,42,37,15,5,47,24,34,0,5,0,1,1,1,0,1,0,1,2,34,7,7,16,17,3,34,0,78,15,15,50,7,0,0,0,1,0,1,1,0,0,0,0,1
2,43,2427,22,46,6,3,45,27,29,12,41,26,37,0,8,0,1,0,1,1,1,1,1,4,30,6,6,18,24,3,15,0,90,6,16,36,1,2,0,1,1,1,1,1,0,0,1,0,0
2,7,2421,17,43,10,4,60,36,20,8,49,27,35,0,5,0,1,1,0,1,1,1,0,7,25,7,6,4,30,1,22,1,55,15,21,36,10,1,0,0,1,1,0,1,1,1,0,1,1
2,79,2420,26,30,13,3,54,30,28,2,40,15,34,0,8,0,0,1,1,0,1,0,1,11,34,0,6,20,22,0,34,1,63,14,16,50,2,1,1,1,0,1,0,1,1,0,1,0,1
2,33,2412,22,39,9,1,41,29,13,13,36,23,38,1,8,1,0,0,1,1,1,1,0,2,12,12,4,2,19,1,35,0,62,6,22,35,7,0,1,1,1,1,0,0,1,0,0,0,1
2,94,2408,16,46,13,3,38,26,12,15,47,19,35,0,7,1,0,0,0,1,1,1,1,3,17,14,7,7,21,4,19,0,75,20,18,46,15,1,1,0,1,1,0,0,1,1,1,0,0
2,11,2396,26,31,8,9,57,32,23,9,34,23,32,1,4,1,0,1,0,0,1,0,1,5,12,6,2,16,28,4,19,1,59,14,21,45,2,4,1,0,0,0,0,1,1,0,0,0,0
2,42,2396,16,31,3,3,55,27,23,9,45,19,38,1,6,1,0,1,0,1,1,1,0,10,12,9,7,24,22,1,24,0,98,14,17,39,14,3,0,1,1,1,1,0,1,1,1,1,1
2,40,2394,15,44,2,6,42,22,20,9,45,27,36,0,6,1,1,1,0,1,1,0,1,3,28,10,8,4,26,1,12,1,69,16,22,41,8,7,1,1,0,0,1,0,1,1,1,0,1
2,28,2387,23,49,13,1,44,29,23,5,33,23,37,0,8,1,1,1,1,0,0,1,0,1,27,7,8,25,17,3,35,1,82,8,22,50,3,0,1,1,1,0,1,0,1,1,1,0,1
2,41,2373,29,37,10,1,42,33,23,9,49,19,34,1,5,1,1,1,0,1,1,1,1,3,35,6,1,20,26,1,12,0,78,17,21,42,14,3,0,0,0,1,0,1,1,0,0,1,0
2,27,2352,25,43,13,0,37,39,25,5,35,19,37,0,5,0,0,1,0,0,1,0,1,5,26,17,8,4,23,1,27,1,50,13,18,35,5,2,0,1,0,1,0,0,1,0,0,1,1
2,22,2344,16,49,16,2,47,23,31,15,20,20,33,0,5,1,1,0,1,0,1,0,0,1,33,8,3,26,21,3,32,0,80,17,22,39,0,1,0,0,1,0,0,0,0,0,0,0,0
2,26,2343,26,42,6,2,46,27,29,9,45,25,38,1,6,0,0,0,0,1,0,1,1,8,22,4,0,20,19,3,18,1,78,11,15,39,8,5,0,1,1,1,1,1,0,1,0,1,0
