Generacja,Bot_ID,Punkty,town_size,wood_percent,gold_percent,stone_percent,feudal_vills,castle_vills,boar_hunting,boar_hunters,max_lumber_camps,max_mining_camps,build_market,build_blacksmith,build_archery,build_stable,build_tower,build_palisade,build_siege,militia_count,archer_count,skirm_count,scout_count,spearman_count,knight_count,ram_count,attack_group_size,target_eco,attack_percent,min_attack_group,army_size_with_siege,army_size_no_siege,tech_loom,tech_wheelbarrow,tech_double_axe,tech_horse_collar,tech_gold_mining,tech_fletching,tech_padded_archer,tech_forging,tech_scale_mail,tech_bloodlines
2,3,560,17,38,10,0,21,42,0,6,3,1,1,1,1,1,1,1,0,6,13,15,7,10,11,3,13,0,100,15,20,40,1,0,0,0,0,1,1,1,0,0
2,6,556,13,46,10,2,20,41,0,5,3,1,0,1,1,1,0,0,0,6,13,8,5,10,13,3,20,3,100,15,20,40,0,1,1,1,0,1,1,0,1,0
2,7,408,17,38,10,2,21,40,0,6,3,1,0,0,1,1,1,0,1,6,16,12,7,10,11,3,13,2,100,15,20,40,1,0,1,0,1,1,1,1,0,0
2,8,348,15,40,11,7,26,45,1,5,1,1,0,0,1,1,1,0,0,9,31,11,7,7,13,4,32,1,56,9,23,39,1,0,0,1,1,1,0,0,0,1
2,4,162,17,46,10,3,20,40,0,6,3,1,0,1,1,1,0,0,0,4,13,11,7,10,13,3,13,3,100,15,20,40,1,0,0,1,1,1,1,0,1,0
2,1,118,17,46,10,4,20,40,1,7,3,2,0,1,1,1,0,0,0,6,13,15,7,10,13,3,20,3,100,15,19,40,1,1,0,0,0,0,1,1,0,0
3,4,488,13,46,10,2,20,41,0,6,3,1,0,1,1,1,0,0,1,5,16,8,5,10,13,3,20,3,100,15,20,40,0,1,1,0,0,1,0,0,0,0
3,8,338,21,41,11,2,24,42,0,7,2,3,1,1,0,0,1,1,0,0,16,15,4,8,18,5,29,1,60,14,18,37,1,0,1,0,0,0,1,0,0,0
3,3,324,17,38,10,2,21,41,0,6,3,1,1,1,1,1,1,0,0,6,16,14,7,10,11,3,20,0,100,15,20,40,1,0,0,0,0,1,1,1,0,1
3,7,274,17,46,10,2,21,41,0,6,3,1,1,1,1,1,1,0,1,5,16,14,7,10,11,3,20,2,100,15,20,40,1,0,1,0,0,1,1,1,1,0
3,2,134,17,46,14,2,21,38,0,6,3,1,1,0,1,1,1,0,1,6,16,14,7,10,16,3,20,0,100,15,20,40,1,1,0,1,0,1,0,1,1,0
3,6,114,13,46,11,2,20,41,0,6,3,1,0,1,1,1,1,0,0,6,13,8,5,10,14,3,20,3,100,15,20,43,0,1,0,1,0,0,1,1,1,0
3,1,98,13,46,10,6,21,42,0,6,3,1,1,1,1,1,1,1,0,6,13,15,7,10,11,3,13,-2,99,15,20,40,1,1,0,0,0,1,1,1,1,0
3,5,78,17,46,10,0,20,40,0,9,3,1,1,1,1,1,1,0,1,6,13,15,7,10,16,3,13,0,100,15,19,40,1,1,0,0,0,1,1,1,1,0
4,1,746,17,38,10,2,19,41,0,6,3,1,1,1,1,1,1,0,1,6,16,14,7,10,14,3,20,1,100,15,20,39,1,1,1,0,0,1,1,1,0,0
4,6,674,21,41,11,2,21,41,0,7,3,1,1,1,0,0,1,0,0,5,16,14,4,10,11,3,31,2,60,15,18,37,1,0,1,0,0,1,1,0,0,0
4,2,496,21,41,10,2,20,42,1,7,2,1,0,1,1,1,1,0,1,5,15,8,5,8,13,5,20,3,60,15,18,37,0,0,1,0,0,0,1,0,0,0
4,3,328,13,46,10,2,21,41,0,6,3,1,1,1,1,1,0,0,0,6,17,8,6,10,11,3,20,0,100,15,20,40,0,0,1,0,0,1,0,1,0,1
4,7,314,13,46,10,2,20,41,0,6,3,1,0,1,1,1,0,0,1,5,16,8,5,10,13,3,20,3,100,15,20,40,0,1,1,0,0,1,0,0,0,0
4,4,262,17,46,10,0,21,41,0,6,3,1,1,1,1,1,1,0,1,5,18,14,7,10,13,3,20,3,100,15,20,40,0,1,1,0,0,1,1,0,0,0
4,8,232,29,27,2,0,28,45,0,6,3,3,0,1,1,1,0,0,1,0,19,7,3,9,16,3,15,0,73,15,17,50,1,1,1,1,0,0,0,1,1,1
4,5,84,21,41,11,2,21,42,0,6,2,1,1,1,0,0,0,0,0,0,16,14,4,12,11,0,29,0,100,14,18,37,1,0,0,1,0,0,1,1,0,1
5,1,1702,13,46,10,7,21,44,0,7,2,1,1,0,1,1,0,0,0,5,15,8,5,8,13,5,20,0,60,15,18,37,0,0,1,0,0,1,1,0,1,0
5,5,602,21,41,11,2,20,41,1,7,3,1,1,1,1,1,1,0,1,5,15,8,4,10,13,5,20,3,60,15,18,37,1,0,1,0,0,0,1,0,0,0
5,8,570,27,44,10,6,26,46,0,6,2,1,0,1,1,0,0,1,1,10,33,5,3,22,14,2,20,1,76,17,16,37,1,1,1,0,0,1,0,0,0,0
5,2,518,17,38,10,2,22,41,0,3,3,1,1,1,0,0,1,0,0,6,16,14,7,10,11,1,20,1,100,15,20,39,1,0,1,0,0,1,1,1,1,0
5,6,500,13,43,16,2,21,39,0,6,3,1,0,1,0,1,0,0,0,5,16,6,6,10,11,3,31,2,60,15,18,37,0,0,1,0,1,1,0,0,0,0
5,7,328,17,38,10,2,19,41,0,6,3,1,1,1,1,1,1,0,1,6,16,14,7,10,14,3,20,1,100,15,20,39,1,1,1,0,0,1,1,1,0,0
5,3,246,21,41,10,2,19,42,0,6,2,1,1,1,1,1,1,0,1,6,15,14,5,8,14,5,20,1,60,15,20,37,0,0,1,0,0,0,1,1,0,0
5,4,162,13,38,8,2,21,40,0,6,3,1,0,1,1,0,1,0,0,6,17,14,7,10,14,3,20,0,100,15,20,39,0,1,1,0,1,1,1,1,0,0
6,3,670,13,46,10,7,21,44,0,6,2,1,1,0,1,1,0,0,1,2,33,8,4,8,13,2,20,0,60,15,16,37,1,0,1,0,0,0,1,0,0,0
6,5,596,24,44,12,6,26,41,0,7,3,1,1,1,1,0,0,0,1,5,33,5,3,10,14,2,20,1,67,17,16,37,1,0,1,0,1,0,1,0,1,0
6,1,528,27,38,14,6,26,41,0,6,3,1,1,1,0,0,0,1,1,10,36,5,3,22,11,0,20,1,76,15,16,37,1,0,1,0,0,1,0,0,0,1
6,7,422,13,46,10,7,21,44,0,7,2,1,1,0,1,1,0,0,0,5,15,8,5,8,13,5,20,0,60,15,18,37,0,0,1,0,0,1,1,0,1,0
6,8,306,22,34,10,6,25,35,0,5,3,2,0,1,1,1,0,1,1,2,40,1,1,25,24,2,25,1,78,20,23,47,0,1,1,1,1,1,1,0,1,0
6,2,196,13,46,10,2,21,44,0,10,2,1,1,1,1,1,1,1,1,5,15,8,5,8,16,5,20,3,60,15,18,37,0,0,1,0,0,0,1,0,1,0
6,4,118,17,38,10,2,22,41,0,7,3,1,1,1,1,1,1,0,0,6,16,8,7,9,16,1,20,1,100,15,18,37,0,0,1,0,0,1,1,1,0,0
6,6,34,21,41,10,2,20,41,0,7,3,1,1,1,1,0,1,0,1,5,13,8,4,10,11,1,20,3,100,15,18,37,1,0,1,0,0,1,1,1,0,0
7,4,2150,13,46,10,7,21,44,0,7,2,1,1,0,1,1,0,0,1,7,15,8,5,8,13,5,20,0,90,15,16,37,1,0,1,0,0,1,1,0,1,0
7,2,1506,13,44,12,6,26,44,0,6,3,1,1,1,1,0,0,1,1,5,33,8,4,8,14,2,20,1,67,17,16,37,1,0,1,0,0,1,1,0,1,0
7,6,890,13,44,12,6,21,41,1,7,2,1,1,0,1,1,1,1,1,5,33,8,5,8,14,6,20,0,97,15,16,37,1,0,0,0,0,0,1,0,1,0
7,7,786,13,46,10,7,21,44,0,6,2,1,1,0,1,1,0,0,1,2,33,8,4,8,13,2,20,0,60,15,16,37,1,0,1,0,0,0,1,0,0,0
7,8,642,27,50,6,10,24,44,1,5,3,3,0,1,1,0,1,1,1,1,27,15,7,7,28,3,19,0,90,15,19,50,1,1,0,0,0,0,1,1,0,0
7,1,458,27,50,14,7,18,44,0,10,3,1,1,0,1,0,0,0,1,5,36,8,5,8,11,5,20,1,90,15,18,37,0,0,0,0,0,1,1,0,1,0
7,3,436,10,38,10,6,26,44,0,6,2,1,1,1,0,1,0,0,0,2,33,8,4,22,13,2,20,1,60,15,16,37,1,0,0,0,0,0,0,0,0,0
7,5,424,24,38,13,6,26,41,0,4,3,1,1,1,0,0,0,0,0,5,36,5,3,22,11,0,20,1,76,17,16,37,0,0,1,0,0,1,0,0,1,1
8,2,1824,13,44,10,6,26,44,0,7,2,1,1,1,1,0,0,1,1,7,15,8,5,8,14,5,20,0,90,15,16,37,1,0,1,0,1,1,1,0,1,0
8,3,1474,13,39,12,7,21,41,1,7,2,1,1,0,1,1,0,1,1,7,33,8,5,8,13,6,20,0,90,15,16,37,1,0,0,0,0,1,1,0,1,0
8,6,950,13,44,12,7,26,44,0,6,3,1,1,1,1,0,0,1,1,5,33,8,2,8,14,2,20,1,60,15,16,37,1,1,0,0,0,1,1,0,0,0
8,5,922,13,44,12,6,26,44,0,7,3,1,1,1,1,1,1,1,1,5,33,8,3,8,14,2,20,0,67,15,16,37,1,1,0,0,0,1,1,1,0,0
8,4,640,13,46,10,7,21,44,1,7,2,1,1,0,1,0,0,0,1,2,15,8,5,8,13,5,20,0,60,15,16,38,1,0,1,1,0,1,0,1,1,0
8,7,510,13,46,10,7,21,44,0,7,2,1,1,0,1,1,0,0,1,7,15,8,5,8,13,5,20,0,90,15,16,37,1,0,1,0,0,1,1,0,1,0
8,1,274,13,44,10,7,21,41,0,6,2,1,0,0,1,1,0,1,1,2,33,8,4,8,13,6,20,0,100,15,16,37,1,0,1,1,1,0,1,0,0,0
8,8,208,19,21,11,0,28,34,1,4,1,2,0,1,1,0,1,0,0,2,22,12,7,16,25,2,26,1,62,11,20,50,1,0,0,1,1,1,0,1,0,1
9,4,2728,13,44,10,6,26,44,0,7,2,1,1,1,1,1,0,1,1,5,15,8,5,8,14,5,20,1,90,15,16,37,1,0,0,0,0,1,1,1,0,0
9,1,1006,13,44,12,7,23,44,0,7,3,1,1,1,1,0,0,0,1,5,33,8,3,8,14,4,20,0,67,15,16,37,1,1,0,1,0,1,1,0,0,0
9,5,968,13,44,12,7,27,44,1,6,2,1,1,1,1,0,0,0,1,5,33,8,2,8,13,6,20,0,60,15,16,39,1,0,0,0,0,1,1,0,0,0
9,6,834,13,39,12,7,26,44,1,7,3,1,1,0,1,0,0,1,1,7,33,8,5,8,14,2,18,0,90,15,16,37,1,1,0,0,0,1,1,1,0,1
9,3,562,13,44,12,7,26,44,0,7,2,1,0,1,1,0,0,0,1,5,33,5,5,8,14,2,21,0,90,15,16,37,1,1,1,0,1,1,0,0,1,0
9,8,528,27,45,17,0,28,35,1,5,3,2,0,0,1,0,0,1,1,2,18,1,4,25,13,5,35,0,65,8,25,48,1,1,0,0,0,0,1,1,0,0
9,7,452,13,44,10,6,26,44,0,7,2,1,1,1,1,0,0,1,1,7,15,8,5,8,14,5,20,0,90,15,16,37,1,0,1,0,1,1,1,0,1,0
9,2,210,14,39,10,7,19,41,1,7,2,1,1,1,1,1,0,1,0,7,31,8,8,11,13,5,20,0,88,15,16,37,1,0,1,0,0,1,1,0,1,0
10,5,1230,13,44,10,7,23,44,1,7,2,1,1,1,1,0,0,0,1,8,36,8,2,8,13,6,20,0,60,15,16,39,1,0,0,1,1,1,1,0,0,0
10,6,764,13,39,12,7,23,44,0,7,4,1,1,1,1,0,1,1,1,6,33,8,3,8,14,4,18,1,90,15,13,37,1,1,0,0,0,1,1,1,0,0
10,2,724,13,44,10,7,22,44,0,5,3,1,1,0,0,0,0,1,1,5,33,8,5,8,14,5,20,1,90,15,16,37,1,1,1,1,0,1,1,0,1,0
10,7,704,13,44,10,6,26,44,0,7,2,1,1,1,1,1,0,1,1,5,15,8,5,8,14,5,20,1,90,15,16,37,1,0,0,0,0,1,1,1,0,0
10,1,534,13,44,12,7,25,44,1,6,2,1,1,1,1,0,0,0,1,7,33,10,2,8,16,6,20,0,60,15,16,37,0,0,0,1,0,1,1,0,0,0
10,4,530,13,39,10,6,26,44,1,7,3,1,1,0,1,1,0,1,0,7,33,8,5,8,14,2,20,1,90,15,16,37,1,1,0,0,0,0,0,1,0,1
10,8,392,27,41,0,2,26,45,0,5,2,1,0,0,1,1,0,1,1,4,29,15,9,5,16,2,20,0,95,10,21,37,1,1,1,1,0,0,1,1,1,1
10,3,342,13,44,10,7,27,44,1,7,2,2,1,1,1,0,0,1,1,2,18,8,5,8,13,5,17,0,60,15,13,39,1,0,0,0,0,1,1,1,0,0
11,2,1366,13,39,10,7,23,44,0,7,4,1,0,0,1,1,0,0,1,9,33,8,6,8,14,4,18,0,60,15,13,37,1,1,1,0,0,1,1,0,0,0
11,3,802,13,44,10,7,22,44,0,5,2,1,0,1,1,0,0,1,1,8,33,8,5,8,14,5,20,0,90,15,16,39,1,1,1,1,0,1,1,0,1,0
11,5,614,13,39,10,7,22,44,0,5,3,1,1,1,0,0,0,1,1,5,33,8,5,8,11,5,20,1,90,15,16,37,0,1,0,1,0,1,1,1,0,0
11,1,330,13,44,14,7,26,44,1,5,3,1,1,0,1,1,0,1,1,5,33,8,5,10,14,5,20,0,90,15,16,37,1,0,1,1,0,1,1,1,1,0
11,7,256,13,44,10,7,23,44,1,7,2,1,1,1,1,0,0,0,1,8,36,8,2,8,13,6,20,0,60,15,16,39,1,0,0,1,1,1,1,0,0,0
11,4,212,13,44,10,6,26,44,0,7,2,0,0,1,0,0,0,1,1,8,36,8,3,7,14,5,20,1,60,15,16,39,1,0,0,1,0,1,1,1,0,0
11,6,196,13,44,12,6,23,44,0,7,4,1,0,1,0,0,1,1,1,6,15,8,8,6,14,5,18,1,90,15,13,37,1,1,0,1,0,1,1,0,1,0
11,8,2,16,47,3,5,22,35,1,4,2,3,0,0,0,0,0,0,1,7,31,6,8,9,20,4,35,0,98,9,24,40,0,0,0,1,1,1,1,1,1,0
12,6,854,13,44,10,7,22,44,0,5,2,1,0,1,1,0,1,1,1,8,33,8,5,8,14,5,20,0,90,15,16,41,1,1,1,1,0,1,1,0,1,0
12,5,798,13,39,10,7,22,44,0,3,3,1,1,0,1,1,0,1,1,5,33,8,5,8,11,5,20,0,90,15,18,38,0,1,1,1,0,1,1,0,0,0
12,2,420,13,44,10,7,23,44,0,7,2,1,0,1,1,0,0,1,1,8,33,8,3,8,14,4,18,0,86,15,16,37,1,1,1,1,0,1,1,0,0,1
12,4,400,15,44,10,7,26,44,0,3,3,1,1,0,1,0,0,1,1,5,33,8,5,10,14,4,18,0,90,15,16,37,1,1,1,0,0,1,1,0,0,0
12,3,270,13,39,12,7,23,44,0,7,3,1,1,0,1,1,1,0,1,9,33,8,3,8,11,4,18,0,90,15,13,37,0,1,0,0,0,1,1,1,0,0
12,7,206,13,39,10,7,23,44,0,7,4,1,0,0,1,1,0,0,1,9,33,8,6,8,14,4,18,0,60,15,13,37,1,1,1,0,0,1,1,0,0,0
12,8,166,16,48,1,10,27,44,1,8,2,3,0,0,1,1,1,1,1,0,36,4,0,1,18,3,14,0,82,14,20,44,0,1,1,1,1,0,1,1,0,1
12,1,2,13,44,14,7,22,47,1,5,3,2,1,0,0,1,0,0,1,4,33,10,5,10,11,5,20,1,90,18,16,37,1,0,0,1,0,1,1,1,0,1
13,1,1742,13,44,10,7,25,44,0,7,2,1,0,1,0,0,0,1,1,3,33,8,3,8,14,4,18,0,90,15,16,37,1,1,1,1,0,1,1,0,0,0
13,3,900,13,47,10,7,22,44,0,10,2,1,0,1,1,0,1,1,1,8,33,5,5,8,14,5,20,0,86,15,16,37,1,0,1,1,0,1,1,0,0,1
13,5,798,13,39,10,7,22,44,0,7,2,1,1,1,1,0,0,0,1,5,33,8,5,8,14,4,20,0,85,15,18,38,1,1,1,0,0,1,1,0,0,1
13,6,590,15,39,10,7,26,42,0,3,3,1,1,0,1,0,0,1,1,5,33,8,7,8,14,5,19,0,90,15,16,36,0,1,1,0,0,1,1,1,0,1
13,2,346,16,39,10,8,22,44,0,2,2,1,1,0,1,1,0,1,1,8,33,8,5,8,11,5,21,0,90,15,16,41,1,1,1,1,0,1,1,0,1,0
13,8,246,24,31,4,6,22,38,1,4,3,1,1,0,0,0,0,1,1,7,28,2,0,14,19,4,22,1,80,16,16,42,1,0,0,1,0,0,1,1,1,0
13,4,212,15,44,10,5,22,44,1,5,2,1,0,0,1,0,1,1,1,8,33,8,5,10,14,5,20,1,90,15,16,41,1,0,0,1,0,0,1,0,0,0
13,7,136,13,44,10,7,22,44,0,5,2,1,0,1,1,0,1,1,1,8,33,8,5,8,14,5,20,0,90,15,16,41,1,1,1,1,0,1,1,0,1,0
14,8,1076,29,38,13,8,24,39,1,6,1,2,0,0,1,1,1,0,1,3,17,1,1,17,27,4,12,0,76,16,22,44,0,0,1,1,1,1,0,1,1,0
14,5,522,13,47,10,7,23,44,0,7,2,1,1,1,1,1,1,0,1,8,33,5,5,9,14,4,20,1,86,15,18,38,1,0,1,0,0,1,1,0,0,1
14,2,494,13,47,10,7,22,42,1,10,2,1,0,1,1,0,0,1,1,2,33,5,3,8,14,4,18,0,90,15,16,38,1,0,1,1,0,1,1,0,0,0
14,3,438,13,44,10,7,25,44,0,7,2,1,1,1,0,0,0,0,1,3,35,5,3,8,15,4,20,0,90,15,16,38,1,1,1,0,0,1,1,0,0,0
14,4,342,13,39,10,7,25,42,0,3,3,1,1,1,0,0,1,1,1,3,33,8,7,6,14,2,18,0,90,15,16,36,0,1,1,1,1,1,0,1,0,0
14,1,222,13,39,10,7,23,42,0,7,3,1,1,1,1,0,0,1,1,5,33,8,5,8,11,8,20,0,90,15,16,38,0,1,1,0,0,1,1,1,0,0
14,6,158,13,39,10,2,26,44,0,3,3,1,1,1,1,0,1,1,1,5,34,5,5,6,14,5,19,0,86,13,16,37,1,0,1,1,0,1,1,1,1,1
14,7,146,13,44,10,7,25,44,0,7,2,1,0,1,0,0,0,1,1,3,33,8,3,8,14,4,18,0,90,15,16,37,1,1,1,1,0,1,1,0,0,0
15,8,3928,28,35,12,4,26,39,1,6,3,1,0,1,0,0,0,1,1,0,38,8,8,18,15,5,13,0,81,8,20,48,0,0,1,1,0,1,1,1,0,0
15,7,856,29,38,13,8,24,39,1,6,1,2,0,0,1,1,1,0,1,3,17,1,1,17,27,4,12,0,76,16,22,44,0,0,1,1,1,1,0,1,1,0
15,4,702,29,44,13,7,24,39,0,6,1,1,0,0,0,1,0,0,1,3,17,1,3,6,12,4,12,0,76,16,22,38,0,1,1,1,0,1,0,1,0,0
15,1,466,13,44,10,7,22,42,1,10,2,1,1,1,1,1,1,0,1,2,35,7,0,7,14,4,18,0,90,15,16,38,1,0,1,0,0,1,1,0,0,0
15,5,464,13,47,10,8,19,42,1,10,2,1,1,1,1,1,0,0,1,8,33,5,3,8,14,4,18,1,86,15,18,38,1,0,1,0,0,1,1,0,0,1
15,3,446,13,47,9,7,24,42,1,10,1,2,0,1,0,0,0,0,0,3,33,5,3,17,14,7,15,0,90,15,15,38,1,0,1,0,1,1,1,1,0,0
15,6,374,13,47,10,7,23,44,0,7,2,1,1,1,0,0,1,0,2,3,35,5,5,8,15,4,18,0,90,15,16,38,1,1,1,0,1,1,1,0,0,0
15,2,176,13,38,9,7,24,39,0,7,1,2,1,0,1,1,1,0,2,3,33,5,5,9,14,4,12,0,76,15,22,38,0,1,1,1,1,1,1,1,0,1
16,7,1058,28,35,12,4,26,39,1,6,3,1,0,1,0,0,0,1,1,0,38,8,8,18,15,5,13,0,81,8,20,48,0,0,1,1,0,1,1,1,0,0
16,2,652,29,38,12,3,26,39,1,6,3,1,0,0,1,1,1,0,1,0,38,8,8,17,15,6,12,0,76,16,20,47,0,0,1,1,0,1,1,1,0,0
16,1,606,13,48,10,7,22,42,1,10,1,1,1,0,1,1,0,0,1,2,35,1,3,7,14,4,18,0,76,12,17,38,1,0,1,1,1,1,1,0,0,0
16,6,354,29,44,13,7,24,39,1,10,1,0,0,1,1,0,1,0,1,2,17,3,1,7,16,4,12,0,90,15,16,38,1,1,1,0,1,1,1,0,0,0
16,3,352,29,35,12,4,24,39,0,6,1,1,0,0,0,1,0,0,1,3,17,1,3,21,12,4,10,0,71,8,20,38,0,0,1,1,0,1,0,1,0,0
16,5,290,29,38,13,8,24,39,0,6,1,1,0,0,0,1,1,1,1,3,17,1,1,6,27,4,12,0,76,16,22,38,0,0,1,1,0,1,0,1,1,0
16,8,270,22,42,19,3,24,34,1,4,3,3,0,1,0,0,0,0,1,3,22,0,2,20,16,3,22,1,97,11,22,42,1,0,0,0,0,0,1,0,0,0
16,4,56,13,35,12,3,28,39,1,10,2,1,0,1,0,1,0,1,1,0,35,8,0,7,15,8,13,0,90,8,18,38,0,0,1,1,0,1,1,0,0,0
17,2,904,29,38,12,3,26,39,1,8,3,3,0,0,0,1,0,1,1,0,38,8,8,17,15,6,13,0,81,15,20,48,0,1,0,0,0,1,1,1,0,0
17,4,446,28,47,13,7,24,39,1,7,3,1,0,1,1,0,1,0,1,2,38,8,8,7,15,5,13,0,81,8,20,48,0,0,0,1,0,1,1,0,1,0
17,7,424,28,35,12,4,26,39,1,6,3,1,0,1,0,0,0,1,1,0,38,8,8,18,15,5,13,0,81,8,20,48,0,0,1,1,0,1,1,1,0,0
17,3,298,28,35,10,7,26,39,1,6,3,1,1,0,0,1,1,0,2,0,35,8,3,7,14,5,16,0,81,11,20,38,1,0,1,1,0,0,1,1,0,0
17,1,276,29,48,10,7,24,42,1,10,1,0,1,0,1,0,0,1,1,2,17,3,1,7,14,4,15,0,67,12,17,38,1,1,1,0,1,1,1,0,0,0
17,6,62,29,38,12,7,26,42,1,9,0,1,0,0,1,0,1,0,1,2,38,3,1,7,16,4,12,1,90,16,20,47,0,0,1,1,0,0,1,0,0,0
17,5,32,29,48,10,7,22,39,1,6,1,1,1,0,1,1,0,0,1,0,38,8,2,19,15,6,18,0,76,16,17,46,1,1,0,1,0,1,1,0,0,0
17,8,6,29,20,6,1,26,41,0,4,2,1,0,1,1,0,0,1,1,2,26,8,9,3,21,5,13,0,76,14,21,36,0,0,1,1,1,1,0,1,1,1
18,3,2572,29,35,12,5,25,39,1,6,3,1,0,1,0,1,0,1,1,0,38,8,8,17,15,5,13,0,81,8,20,48,0,0,0,0,0,1,1,1,0,1
18,7,1074,29,38,12,3,26,39,1,8,3,3,0,0,0,1,0,1,1,0,38,8,8,17,15,6,13,0,81,15,20,48,0,1,0,0,0,1,1,1,0,0
18,8,550,20,50,8,5,26,40,1,6,1,2,0,0,0,1,0,0,1,9,33,9,9,12,24,2,17,0,65,15,25,38,1,1,1,1,0,1,0,0,0,1
18,1,498,31,35,13,4,26,39,1,8,3,1,0,0,0,0,0,0,2,3,35,8,8,18,14,2,10,0,81,8,20,48,0,1,1,1,0,0,0,1,0,0
18,6,336,28,35,13,7,26,42,0,6,3,1,1,0,0,1,0,0,2,0,38,8,3,7,14,5,16,0,81,8,20,38,0,1,1,1,0,0,1,0,0,0
18,2,256,28,47,12,7,26,42,0,7,3,3,0,0,0,1,0,0,1,0,40,8,8,8,15,5,13,0,74,15,20,48,0,1,0,0,0,1,1,0,0,0
18,5,214,27,35,13,7,24,39,1,7,3,1,0,1,0,0,1,1,0,2,37,8,8,18,15,8,13,1,81,8,20,48,0,0,0,1,0,1,1,0,1,0
18,4,16,28,38,10,3,26,39,0,8,3,3,1,0,0,1,0,0,1,0,38,10,3,7,15,6,16,0,81,15,20,38,0,1,0,0,0,0,1,1,0,1
19,2,1436,29,38,12,3,26,39,1,6,3,3,0,0,0,1,0,1,1,0,38,8,8,15,15,5,13,0,81,15,20,48,0,1,0,0,0,1,1,1,1,1
19,7,1430,29,35,12,5,25,39,1,6,3,1,0,1,0,1,0,1,1,0,38,8,8,17,15,5,13,0,81,8,20,48,0,0,0,0,0,1,1,1,0,1
19,6,1080,26,38,12,0,26,39,0,8,5,1,0,0,0,0,0,1,2,0,38,10,8,18,17,6,13,0,81,15,20,48,0,1,1,0,0,1,1,1,1,0
19,8,940,30,42,4,7,26,42,0,7,2,1,0,0,1,1,0,0,1,9,19,15,9,22,15,5,20,1,65,11,19,49,1,0,0,1,0,1,1,0,1,0
19,5,550,20,50,8,7,26,40,1,8,1,2,0,0,0,1,0,1,1,9,33,9,8,17,15,1,13,0,89,15,25,48,1,0,1,1,0,1,0,1,0,1
19,3,278,20,50,8,5,22,40,1,6,1,2,1,0,1,1,0,1,1,9,38,9,8,15,24,7,11,0,63,15,25,38,0,1,1,1,0,1,1,1,0,1
19,4,38,29,35,12,4,25,39,1,8,3,2,0,1,0,1,0,0,2,0,35,8,11,18,15,5,11,0,81,8,20,48,0,1,0,0,1,0,0,1,0,0
19,1,2,31,50,3,5,26,39,1,6,0,2,0,0,0,0,0,0,2,3,33,9,8,12,24,2,10,0,81,15,20,38,0,0,1,1,0,0,0,0,0,0
20,2,1440,29,38,12,4,25,39,0,6,3,1,0,0,0,1,0,1,1,0,38,8,8,15,15,5,13,0,81,15,20,48,0,0,0,0,1,1,1,0,1,1
20,5,1266,29,38,12,0,26,39,1,8,5,1,0,1,1,0,0,1,1,0,38,8,10,18,15,6,13,0,81,15,20,48,1,1,1,0,0,1,1,1,0,0
20,4,1078,30,43,4,7,26,39,1,6,3,1,0,0,1,1,0,0,1,9,19,8,9,22,15,5,20,0,61,15,20,48,0,0,0,0,0,1,1,1,1,1
